Subtotal Area	JOEL VENTRESCA	WILMA PANG	ROBERT L. JORDAN, JR.	PAUL YBARRA ROBERTSON	ELLEN LEE ZHOU	LONDON N. BREED	MARC ROTH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Precinct 9449 - Vote By Mail	19	7	2	14	71	138	0	862	276	0	0	25	0	251	0
Precinct 9449	21	7	2	21	84	192	0	862	362	0	0	35	0	327	0
Precinct 9451 - Election Day	5	0	0	5	6	18	0	437	41	0	0	7	0	34	0
Precinct 9451 - Vote By Mail	5	2	2	11	29	76	0	437	143	0	0	18	0	125	0
Precinct 9451	10	2	2	16	35	94	0	437	184	0	0	25	0	159	0
Precinct 9453 - Election Day	3	0	0	2	10	33	0	520	57	0	0	9	0	48	0
Precinct 9453 - Vote By Mail	9	2	3	5	23	109	0	520	165	0	2	12	0	151	0
Precinct 9453	12	2	3	7	33	142	0	520	222	0	2	21	0	199	0
Precinct 9501 MB - Election Day	0	0	0	1	0	1	0	147	2	0	0	0	0	2	0
Precinct 9501 MB - Vote By Mail	1	0	1	6	9	48	0	147	69	0	0	4	0	65	0
Precinct 9501 MB	1	0	1	7	9	49	0	147	71	0	0	4	0	67	0
Precinct 9502 MB - Election Day	0	0	0	0	0	4	0	253	5	0	0	1	0	4	0
Precinct 9502 MB - Vote By Mail	9	1	0	0	12	71	0	253	104	0	0	11	0	93	0
Precinct 9502 MB	9	1	0	0	12	75	0	253	109	0	0	12	0	97	0
Precinct 9503/9504 - Election Day	5	2	0	0	7	63	0	667	86	0	1	8	0	77	0
Precinct 9503/9504 - Vote By Mail	14	1	0	3	5	131	0	667	176	0	4	18	0	154	0
Precinct 9503/9504	19	3	0	3	12	194	0	667	262	0	5	26	0	231	0
Precinct 9505 - Election Day	6	1	4	1	6	87	0	760	116	0	0	11	0	105	0
Precinct 9505 - Vote By Mail	17	1	5	11	18	172	0	760	246	0	1	21	0	224	0
Precinct 9505	23	2	9	12	24	259	0	760	362	0	1	32	0	329	0
Precinct 9506 - Election Day	5	1	2	4	10	63	0	750	95	0	0	10	0	85	0
Precinct 9506 - Vote By Mail	9	0	1	3	16	136	0	750	186	0	1	20	0	165	0
Precinct 9506	14	1	3	7	26	199	0	750	281	0	1	30	0	250	0
Precinct 9507 - Election Day	6	3	1	4	3	76	0	713	121	0	0	28	0	93	0
Precinct 9507 - Vote By Mail	9	3	0	2	12	149	0	713	212	0	0	37	0	175	0
Precinct 9507	15	6	1	6	15	225	0	713	333	0	0	65	0	268	0
Precinct 9511/9509 - Election Day	13	4	4	1	12	136	0	1,314	228	0	1	57	0	170	0
Precinct 9511/9509 - Vote By Mail	23	3	1	6	25	252	0	1,314	383	0	0	73	0	310	0
Precinct 9511/9509	36	7	5	7	37	388	0	1,314	611	0	1	130	0	480	0
Precinct 9512/9508 - Election Day	12	5	3	2	7	136	0	1,544	231	0	0	66	0	165	0
Precinct 9512/9508 - Vote By Mail	27	9	2	7	31	331	0	1,544	489	0	0	82	0	407	0
Precinct 9512/9508	39	14	5	9	38	467	0	1,544	720	0	0	148	0	572	0
Precinct 9513 - Election Day	6	4	0	2	11	102	0	872	163	0	1	37	0	125	0
Precinct 9513 - Vote By Mail	8	3	1	4	13	159	0	872	242	0	0	54	0	188	0
Precinct 9513	14	7	1	6	24	261	0	872	405	0	1	91	0	313	0
Precinct 9514/9522 - Election Day	13	2	0	0	17	105	0	888	158	0	0	21	0	137	0
Precinct 9514/9522 - Vote By Mail	22	3	0	5	15	192	0	888	270	0	0	33	0	237	0
Precinct 9514/9522	35	5	0	5	32	297	0	888	428	0	0	54	0	374	0
Precinct 9516/9515 - Election Day	21	5	1	9	27	157	0	1,579	275	0	1	54	0	220	0
Precinct 9516/9515 - Vote By Mail	34	15	9	7	58	299	0	1,579	484	0	0	62	0	422	0
Precinct 9516/9515	55	20	10	16	85	456	0	1,579	759	0	1	116	0	642	0
Precinct 9517/9518 - Election Day	19	11	2	3	15	153	0	1,554	252	0	0	49	0	203	0
Precinct 9517/9518 - Vote By Mail	29	5	4	17	47	293	0	1,554	484	0	0	89	0	395	0
Precinct 9517/9518	48	16	6	20	62	446	0	1,554	736	0	0	138	0	598	0
Precinct 9519 - Election Day	8	3	1	8	11	93	0	882	148	0	1	23	0	124	0
Precinct 9519 - Vote By Mail	15	2	4	7	13	199	0	882	304	0	0	64	0	240	0
Precinct 9519	23	5	5	15	24	292	0	882	452	0	1	87	0	364	0
Precinct 9521 - Election Day	14	5	1	2	17	114	0	870	182	0	0	29	0	153	0
Precinct 9521 - Vote By Mail	15	1	1	3	21	211	0	870	295	0	0	43	0	252	0
Precinct 9521	29	6	2	5	38	325	0	870	477	0	0	72	0	405	0
Precinct 9701 - Election Day	10	1	1	3	14	68	0	652	122	0	0	25	0	97	0
Precinct 9701 - Vote By Mail	10	7	1	4	20	105	0	652	183	0	0	36	0	147	0
Precinct 9701	20	8	2	7	34	173	0	652	305	0	0	61	0	244	0
Precinct 9702 - Election Day	8	6	1	0	6	70	0	709	121	0	0	30	0	91	0
Precinct 9702 - Vote By Mail	18	3	4	1	27	111	0	709	210	0	0	46	0	164	0
Precinct 9702	26	9	5	1	33	181	0	709	331	0	0	76	0	255	0
Precinct 9703 - Election Day	5	2	3	1	19	74	0	981	117	0	0	13	0	104	0
Precinct 9703 - Vote By Mail	22	3	0	12	56	189	0	981	333	0	0	51	0	282	0
Precinct 9703	27	5	3	13	75	263	0	981	450	0	0	64	0	386	0
Precinct 9704 - Election Day	7	3	0	7	12	90	0	946	133	0	0	14	0	119	0
Precinct 9704 - Vote By Mail	15	8	1	10	40	200	0	946	337	0	2	61	0	274	0
Precinct 9704	22	11	1	17	52	290	0	946	470	0	2	75	0	393	0
Precinct 9705/9708 - Election Day	28	6	1	3	15	182	0	1,865	274	0	0	39	0	235	0
Precinct 9705/9708 - Vote By Mail	48	8	3	12	60	390	0	1,865	608	0	1	86	0	521	0
Precinct 9705/9708	76	14	4	15	75	572	0	1,865	882	0	1	125	0	756	0
Precinct 9706 MB - Election Day	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0
Precinct 9706 MB - Vote By Mail	2	0	0	0	2	14	0	48	20	0	0	2	0	18	0
Precinct 9706 MB	2	0	0	0	2	14	0	48	20	0	0	2	0	18	0
Precinct 9709 - Election Day	8	0	1	3	16	68	0	1,021	108	0	0	12	0	96	0
Precinct 9709 - Vote By Mail	21	10	2	15	49	200	0	1,021	335	0	1	37	0	297	0
Precinct 9709	29	10	3	18	65	268	0	1,021	443	0	1	49	0	393	0
Precinct 9711/9707 - Election Day	17	8	2	12	25	137	0	1,433	222	0	0	21	0	201	0
Precinct 9711/9707 - Vote By Mail	31	8	1	16	81	319	0	1,433	526	0	2	68	0	456	0
Precinct 9711/9707	48	16	3	28	106	456	0	1,433	748	0	2	89	0	657	0
Precinct 9712/9715 - Election Day	6	4	0	11	12	134	0	1,237	190	0	1	22	0	167	0
Precinct 9712/9715 - Vote By Mail	21	9	5	22	45	295	0	1,237	466	0	3	66	0	397	0
Precinct 9712/9715	27	13	5	33	57	429	0	1,237	656	0	4	88	0	564	0
Precinct 9716 - Election Day	6	3	1	5	12	82	0	951	133	0	1	23	0	109	0
Precinct 9716 - Vote By Mail	25	14	3	8	50	189	0	951	325	0	1	35	0	289	0
Precinct 9716	31	17	4	13	62	271	0	951	458	0	2	58	0	398	0
Precinct 9717/9713 - Election Day	15	7	7	16	28	121	0	1,917	224	0	0	30	0	194	0
Precinct 9717/9713 - Vote By Mail	46	20	5	18	103	357	0	1,917	610	0	3	58	0	549	0
Precinct 9717/9713	61	27	12	34	131	478	0	1,917	834	0	3	88	0	743	0
Precinct 9718/9714 - Election Day	17	6	2	12	35	177	0	1,833	277	0	1	27	0	249	0
Precinct 9718/9714 - Vote By Mail	51	9	3	37	90	411	0	1,833	701	0	0	100	0	601	0
Precinct 9718/9714	68	15	5	49	125	588	0	1,833	978	0	1	127	0	850	0
Precinct 9719 - Election Day	10	0	3	6	22	80	0	910	135	0	0	14	0	121	0
Precinct 9719 - Vote By Mail	23	2	2	13	32	230	0	910	348	0	0	46	0	302	0
Precinct 9719	33	2	5	19	54	310	0	910	483	0	0	60	0	423	0
Precinct 9721 - Election Day	11	0	1	5	8	93	0	660	128	0	0	10	0	118	0
Precinct 9721 - Vote By Mail	16	4	1	8	30	157	0	660	251	0	1	34	0	216	0
Precinct 9721	27	4	2	13	38	250	0	660	379	0	1	44	0	334	0
Precinct 9722 - Election Day	5	1	1	4	5	42	0	587	70	0	0	12	0	58	0
Precinct 9722 - Vote By Mail	14	2	1	12	38	154	0	587	245	0	1	23	0	221	0
Precinct 9722	19	3	2	16	43	196	0	587	315	0	1	35	0	279	0
Precinct 9723 - Election Day	3	2	1	5	6	19	0	505	38	0	0	2	0	36	0
Precinct 9723 - Vote By Mail	15	5	0	17	43	90	0	505	187	0	0	17	0	170	0
Precinct 9723	18	7	1	22	49	109	0	505	225	0	0	19	0	206	0
Precinct 9724 - Election Day	6	1	2	4	17	55	0	1,003	100	0	0	15	0	85	0
Precinct 9724 - Vote By Mail	20	12	9	19	105	159	0	1,003	378	0	2	52	0	324	0
Precinct 9724	26	13	11	23	122	214	0	1,003	478	0	2	67	0	409	0
Precinct 9725 - Election Day	2	1	1	3	11	59	0	965	88	0	0	11	0	77	0
Precinct 9725 - Vote By Mail	24	14	3	19	54	155	0	965	321	0	0	52	0	269	0
Precinct 9725	26	15	4	22	65	214	0	965	409	0	0	63	0	346	0
Precinct 9726 - Election Day	6	3	1	4	14	41	0	621	74	0	0	5	0	69	0
Precinct 9726 - Vote By Mail	9	2	1	3	18	85	0	621	127	0	1	8	0	118	0
Precinct 9726	15	5	2	7	32	126	0	621	201	0	1	13	0	187	0
Precinct 9727 - Election Day	4	0	3	0	5	33	0	453	51	0	0	6	0	45	0
Precinct 9727 - Vote By Mail	8	9	0	8	25	93	0	453	163	0	1	19	0	143	0
Precinct 9727	12	9	3	8	30	126	0	453	214	0	1	25	0	188	0
Precinct 9728/9746 - Election Day	18	5	2	24	35	159	0	1,829	273	0	1	29	0	243	0
Precinct 9728/9746 - Vote By Mail	41	11	6	37	85	370	0	1,829	610	0	2	58	0	550	0
Precinct 9728/9746	59	16	8	61	120	529	0	1,829	883	0	3	87	0	793	0
Precinct 9729 - Election Day	7	2	0	4	13	72	0	809	105	0	0	7	0	98	0
Precinct 9729 - Vote By Mail	14	4	3	17	19	219	0	809	316	0	1	39	0	276	0
Precinct 9729	21	6	3	21	32	291	0	809	421	0	1	46	0	374	0
Precinct 9731 - Election Day	5	1	0	3	10	55	0	572	77	0	0	3	0	74	0
Precinct 9731 - Vote By Mail	14	2	1	17	29	103	0	572	190	0	1	23	0	166	0
Precinct 9731	19	3	1	20	39	158	0	572	267	0	1	26	0	240	0
Precinct 9732 MB - Election Day	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0
Precinct 9732 MB - Vote By Mail	5	1	0	1	4	25	0	71	39	0	1	2	0	36	0
Precinct 9732 MB	5	1	0	1	4	25	0	71	39	0	1	2	0	36	0
Precinct 9733 MB - Election Day	0	0	0	0	1	4	0	235	5	0	0	0	0	5	0
Precinct 9733 MB - Vote By Mail	7	4	1	3	15	72	0	235	115	0	0	13	0	102	0
Precinct 9733 MB	7	4	1	3	16	76	0	235	120	0	0	13	0	107	0
Precinct 9734/9735 - Election Day	7	10	1	9	15	130	0	1,389	188	0	1	15	0	172	0
Precinct 9734/9735 - Vote By Mail	47	11	4	24	43	334	0	1,389	531	0	0	68	0	463	0
Precinct 9734/9735	54	21	5	33	58	464	0	1,389	719	0	1	83	0	635	0
Precinct 9737/9736 - Election Day	16	3	3	6	19	132	0	1,518	204	0	0	25	0	179	0
Precinct 9737/9736 - Vote By Mail	43	9	4	16	64	337	0	1,518	569	0	3	93	0	473	0
Precinct 9737/9736	59	12	7	22	83	469	0	1,518	773	0	3	118	0	652	0
Precinct 9738 - Election Day	3	0	0	3	6	30	0	813	48	0	0	6	0	42	0
Precinct 9738 - Vote By Mail	21	7	2	10	30	131	0	813	228	0	2	25	0	201	0
Precinct 9738	24	7	2	13	36	161	0	813	276	0	2	31	0	243	0
Precinct 9739 - Election Day	5	3	2	5	2	43	0	768	69	0	1	8	0	60	0
Precinct 9739 - Vote By Mail	19	2	2	3	22	111	0	768	177	0	3	15	0	159	0
Precinct 9739	24	5	4	8	24	154	0	768	246	0	4	23	0	219	0
Precinct 9741 - Election Day	4	4	2	3	7	24	0	497	65	0	0	21	0	44	0
Precinct 9741 - Vote By Mail	2	3	1	2	4	9	0	497	25	0	1	3	0	21	0
Precinct 9741	6	7	3	5	11	33	0	497	90	0	1	24	0	65	0
Precinct 9742 - Election Day	5	6	3	6	11	53	0	679	95	0	0	11	0	84	0
Precinct 9742 - Vote By Mail	12	6	5	8	35	66	0	679	153	0	1	20	0	132	0
Precinct 9742	17	12	8	14	46	119	0	679	248	0	1	31	0	216	0
Precinct 9743 - Election Day	8	5	4	5	16	62	0	1,138	122	0	1	21	0	100	0
Precinct 9743 - Vote By Mail	12	3	1	17	36	184	0	1,138	299	0	2	44	0	253	0
Precinct 9743	20	8	5	22	52	246	0	1,138	421	0	3	65	0	353	0
Precinct 9744 - Election Day	4	6	3	6	16	63	0	907	113	0	0	15	0	98	0
Precinct 9744 - Vote By Mail	20	0	1	14	32	109	0	907	205	0	1	28	0	176	0
Precinct 9744	24	6	4	20	48	172	0	907	318	0	1	43	0	274	0
Precinct 9745 - Election Day	10	2	7	4	15	56	0	973	110	0	0	16	0	94	0
Precinct 9745 - Vote By Mail	22	3	7	12	22	122	0	973	212	0	2	22	0	188	0
Precinct 9745	32	5	14	16	37	178	0	973	322	0	2	38	0	282	0
Precinct 9748 - Election Day	6	3	1	5	13	62	0	910	98	0	1	7	0	90	0
Precinct 9748 - Vote By Mail	18	8	4	16	45	171	0	910	311	0	4	45	0	262	0
Precinct 9748	24	11	5	21	58	233	0	910	409	0	5	52	0	352	0
Precinct 9749/9747 - Election Day	22	1	5	7	29	115	0	1,871	214	0	0	35	0	179	0
Precinct 9749/9747 - Vote By Mail	26	12	3	22	86	255	0	1,871	490	0	2	84	0	404	0
Precinct 9749/9747	48	13	8	29	115	370	0	1,871	704	0	2	119	0	583	0
Precinct 9751 - Election Day	9	4	1	11	18	84	0	1,038	135	0	0	8	0	127	0
Precinct 9751 - Vote By Mail	26	5	2	8	65	186	0	1,038	348	0	0	56	0	292	0
Precinct 9751	35	9	3	19	83	270	0	1,038	483	0	0	64	0	419	0
Precinct 9752 - Election Day	10	2	1	6	12	43	0	696	89	0	0	15	0	74	0
Precinct 9752 - Vote By Mail	20	11	6	10	34	150	0	696	266	0	2	33	0	231	0
Precinct 9752	30	13	7	16	46	193	0	696	355	0	2	48	0	305	0
Precinct 9753 - Election Day	12	2	2	1	12	46	0	764	93	0	0	18	0	75	0
Precinct 9753 - Vote By Mail	15	3	9	5	29	143	0	764	237	0	3	30	0	204	0
Precinct 9753	27	5	11	6	41	189	0	764	330	0	3	48	0	279	0
Precinct 9754 - Election Day	9	2	1	0	7	74	0	686	111	0	0	18	0	93	0
Precinct 9754 - Vote By Mail	14	4	4	7	18	153	0	686	241	0	1	40	0	200	0
Precinct 9754	23	6	5	7	25	227	0	686	352	0	1	58	0	293	0
Precinct 9755 - Election Day	11	3	0	7	3	44	0	567	76	0	0	8	0	68	0
Precinct 9755 - Vote By Mail	10	6	5	1	19	107	0	567	170	0	3	19	0	148	0
Precinct 9755	21	9	5	8	22	151	0	567	246	0	3	27	0	216	0
Precinct 9756 - Election Day	7	0	1	1	6	43	0	940	69	0	0	11	0	58	0
Precinct 9756 - Vote By Mail	20	9	3	10	63	124	0	940	264	0	1	33	0	230	1
Precinct 9756	27	9	4	11	69	167	0	940	333	0	1	44	0	288	1
Precinct 9801 - Election Day	5	0	0	0	5	34	0	404	51	0	0	7	0	44	0
Precinct 9801 - Vote By Mail	12	4	3	4	24	71	0	404	135	0	0	17	0	118	0
Precinct 9801	17	4	3	4	29	105	0	404	186	0	0	24	0	162	0
Congressional District 12 - Election Day	3,592	1,608	685	1,843	4,917	31,962	4	437,850	53,401	0	93	8,697	0	44,611	4
Congressional District 12 - Vote By Mail	7,777	2,567	1,317	4,689	15,746	79,898	3	437,850	129,411	0	355	17,059	0	111,997	3
Congressional District 12	11,369	4,175	2,002	6,532	20,663	111,860	7	437,850	182,812	0	448	25,756	0	156,608	7
Congressional District 14 - Election Day	416	127	101	248	759	3,641	0	57,200	6,022	0	12	718	0	5,292	0
Congressional District 14 - Vote By Mail	1,060	371	218	690	3,242	9,684	0	57,200	17,251	0	78	1,907	0	15,266	1
Congressional District 14	1,476	498	319	938	4,001	13,325	0	57,200	23,273	0	90	2,625	0	20,558	1
Assembly District 17 - Election Day	2,308	1,030	480	1,113	2,769	21,112	4	287,476	34,951	0	66	6,069	0	28,816	4
Assembly District 17 - Vote By Mail	5,075	1,607	945	2,827	9,191	53,581	2	287,476	84,925	0	239	11,458	0	73,228	2
Assembly District 17	7,383	2,637	1,425	3,940	11,960	74,693	6	287,476	119,876	0	305	17,527	0	102,044	6
Assembly District 19 - Election Day	1,700	705	306	978	2,907	14,491	0	207,574	24,472	0	39	3,346	0	21,087	0
Assembly District 19 - Vote By Mail	3,762	1,331	590	2,552	9,797	36,001	1	207,574	61,737	0	194	7,508	0	54,035	2
Assembly District 19	5,462	2,036	896	3,530	12,704	50,492	1	207,574	86,209	0	233	10,854	0	75,122	2
Supervisorial District 1 - Election Day	412	197	47	180	644	3,028	0	42,447	5,463	0	13	942	0	4,508	0
Supervisorial District 1 - Vote By Mail	843	300	103	463	1,778	6,994	0	42,447	12,558	0	63	2,014	0	10,481	0
Supervisorial District 1	1,255	497	150	643	2,422	10,022	0	42,447	18,021	0	76	2,956	0	14,989	0
Supervisorial District 2 - Election Day	286	141	61	271	459	3,481	0	49,361	5,273	0	2	572	0	4,699	0
Supervisorial District 2 - Vote By Mail	725	256	119	697	1,135	9,558	1	49,361	13,928	0	14	1,423	0	12,491	1
Supervisorial District 2	1,011	397	180	968	1,594	13,039	1	49,361	19,201	0	16	1,995	0	17,190	1
Supervisorial District 3 - Election Day	287	130	82	165	457	2,266	0	38,836	3,915	0	9	519	0	3,387	0
Supervisorial District 3 - Vote By Mail	573	261	174	490	1,636	6,502	0	38,836	10,900	0	29	1,235	0	9,636	0
Supervisorial District 3	860	391	256	655	2,093	8,768	0	38,836	14,815	0	38	1,754	0	13,023	0
Supervisorial District 4 - Election Day	405	183	67	230	820	2,710	0	43,341	5,028	0	6	607	0	4,415	0
Supervisorial District 4 - Vote By Mail	801	328	124	629	3,055	6,729	0	43,341	13,005	0	29	1,310	0	11,666	0
Supervisorial District 4	1,206	511	191	859	3,875	9,439	0	43,341	18,033	0	35	1,917	0	16,081	0
Supervisorial District 5 - Election Day	462	194	70	162	576	5,222	0	51,976	8,348	0	11	1,651	0	6,686	0
Supervisorial District 5 - Vote By Mail	911	226	121	353	1,260	10,880	1	51,976	16,414	0	27	2,635	0	13,752	1
Supervisorial District 5	1,373	420	191	515	1,836	16,102	1	51,976	24,762	0	38	4,286	0	20,438	1
Supervisorial District 6 - Election Day	229	84	50	139	368	1,987	1	42,510	3,315	0	11	446	0	2,858	1
Supervisorial District 6 - Vote By Mail	729	200	131	437	1,408	6,832	0	42,510	11,016	0	51	1,228	0	9,737	0
Supervisorial District 6	958	284	181	576	1,776	8,819	1	42,510	14,331	0	62	1,674	0	12,595	1
Supervisorial District 7 - Election Day	452	153	81	262	666	3,742	0	46,757	6,123	0	10	757	0	5,356	0
Supervisorial District 7 - Vote By Mail	1,087	333	143	608	2,036	9,211	1	46,757	15,588	0	66	2,102	0	13,420	2
Supervisorial District 7	1,539	486	224	870	2,702	12,953	1	46,757	21,711	0	76	2,859	0	18,776	2
Supervisorial District 8 - Election Day	659	315	86	277	493	5,547	0	57,103	9,080	0	12	1,691	0	7,377	0
Supervisorial District 8 - Vote By Mail	1,268	407	116	555	1,057	13,340	0	57,103	19,804	0	28	3,033	0	16,743	0
Supervisorial District 8	1,927	722	202	832	1,550	18,887	0	57,103	28,884	0	40	4,724	0	24,120	0
Supervisorial District 9 - Election Day	397	190	138	150	400	3,166	3	42,539	5,866	0	15	1,407	0	4,444	3
Supervisorial District 9 - Vote By Mail	844	191	229	363	1,300	7,150	0	42,539	12,098	0	38	1,983	0	10,077	0
Supervisorial District 9	1,241	381	367	513	1,700	10,316	3	42,539	17,964	0	53	3,390	0	14,521	3
Supervisorial District 10 - Election Day	188	78	40	139	307	2,472	0	42,195	3,620	0	8	388	0	3,224	0
Supervisorial District 10 - Vote By Mail	493	200	128	416	1,801	6,634	0	42,195	10,747	0	42	1,033	0	9,672	0
Supervisorial District 10	681	278	168	555	2,108	9,106	0	42,195	14,367	0	50	1,421	0	12,896	0
Supervisorial District 11 - Election Day	231	70	64	116	486	1,982	0	37,985	3,392	0	8	435	0	2,949	0
Supervisorial District 11 - Vote By Mail	563	236	147	368	2,522	5,752	0	37,985	10,604	0	46	970	0	9,588	0
Supervisorial District 11	794	306	211	484	3,008	7,734	0	37,985	13,996	0	54	1,405	0	12,537	0
Bayview/Hunters Point - Election Day	54	28	20	54	120	1,205	0	20,194	1,585	0	7	97	0	1,481	0
Bayview/Hunters Point - Vote By Mail	158	89	58	173	898	2,878	0	20,194	4,607	0	23	330	0	4,254	0
Bayview/Hunters Point	212	117	78	227	1,018	4,083	0	20,194	6,192	0	30	427	0	5,735	0
Chinatown - Election Day	111	69	28	63	211	1,000	0	18,045	1,697	0	3	212	0	1,482	0
Chinatown - Vote By Mail	225	123	66	226	850	2,932	0	18,045	5,016	0	16	578	0	4,422	0
Chinatown	336	192	94	289	1,061	3,932	0	18,045	6,713	0	19	790	0	5,904	0
Civic Center/Downtown - Election Day	208	81	58	118	301	1,477	0	27,613	2,636	0	12	381	0	2,243	0
Civic Center/Downtown - Vote By Mail	516	155	132	265	951	4,308	0	27,613	7,164	0	35	802	0	6,327	0
Civic Center/Downtown	724	236	190	383	1,252	5,785	0	27,613	9,800	0	47	1,183	0	8,570	0
Diamond Heights - Election Day	84	38	11	32	82	767	0	7,735	1,166	0	2	150	0	1,014	0
Diamond Heights - Vote By Mail	170	89	20	88	204	1,924	0	7,735	2,826	0	10	321	0	2,495	0
Diamond Heights	254	127	31	120	286	2,691	0	7,735	3,992	0	12	471	0	3,509	0
Excelsior - Election Day	176	48	44	91	342	1,375	0	28,067	2,435	0	7	352	0	2,076	0
Excelsior - Vote By Mail	416	191	120	291	1,839	4,225	0	28,067	7,898	0	40	775	0	7,083	1
Excelsior	592	239	164	382	2,181	5,600	0	28,067	10,333	0	47	1,127	0	9,159	1
Haight Ashbury - Election Day	161	75	19	50	169	1,726	0	15,102	2,834	0	0	634	0	2,200	0
Haight Ashbury - Vote By Mail	291	69	25	102	238	3,273	0	15,102	4,921	0	6	917	0	3,998	0
Haight Ashbury	452	144	44	152	407	4,999	0	15,102	7,755	0	6	1,551	0	6,198	0
Ingleside - Election Day	89	23	26	33	184	799	0	13,133	1,291	0	1	136	0	1,154	0
Ingleside - Vote By Mail	205	70	36	113	856	1,977	0	13,133	3,595	0	9	329	0	3,257	0
Ingleside	294	93	62	146	1,040	2,776	0	13,133	4,886	0	10	465	0	4,411	0
Inner Sunset - Election Day	112	44	8	36	127	1,003	0	9,501	1,634	0	2	302	0	1,330	0
Inner Sunset - Vote By Mail	197	47	29	64	269	1,942	0	9,501	3,041	0	0	493	0	2,548	0
Inner Sunset	309	91	37	100	396	2,945	0	9,501	4,675	0	2	795	0	3,878	0
Lake Merced - Election Day	51	27	23	42	110	452	0	8,190	827	0	2	120	0	705	0
Lake Merced - Vote By Mail	164	51	27	116	366	1,155	0	8,190	2,159	0	14	266	0	1,879	0
Lake Merced	215	78	50	158	476	1,607	0	8,190	2,986	0	16	386	0	2,584	0
Laurel Heights/Anza Vista - Election Day	85	35	15	41	110	869	0	10,551	1,395	0	2	238	0	1,155	0
Laurel Heights/Anza Vista - Vote By Mail	170	51	24	98	286	1,983	0	10,551	3,049	0	6	431	0	2,612	0
Laurel Heights/Anza Vista	255	86	39	139	396	2,852	0	10,551	4,444	0	8	669	0	3,767	0
Marina Pacific Heights - Election Day	236	113	46	223	365	2,770	0	41,063	4,206	0	1	452	0	3,753	0
Marina Pacific Heights - Vote By Mail	630	188	99	599	936	7,698	1	41,063	11,308	0	16	1,141	0	10,151	1
Marina Pacific Heights	866	301	145	822	1,301	10,468	1	41,063	15,514	0	17	1,593	0	13,904	1
Mission - Election Day	339	187	93	135	298	2,473	3	32,113	4,830	0	14	1,288	0	3,528	3
Mission - Vote By Mail	608	156	115	211	560	5,408	0	32,113	8,737	0	28	1,651	0	7,058	0
Mission	947	343	208	346	858	7,881	3	32,113	13,567	0	42	2,939	0	10,586	3
Noe Valley - Election Day	181	89	25	83	127	1,559	0	15,730	2,488	0	2	422	0	2,064	0
Noe Valley - Vote By Mail	344	96	28	162	271	3,798	0	15,730	5,492	0	5	788	0	4,699	0
Noe Valley	525	185	53	245	398	5,357	0	15,730	7,980	0	7	1,210	0	6,763	0
North Bernal Heights - Election Day	106	52	27	32	93	969	0	9,293	1,671	0	4	388	0	1,279	0
North Bernal Heights - Vote By Mail	243	43	39	77	123	1,935	0	9,293	3,068	0	5	603	0	2,460	0
North Bernal Heights	349	95	66	109	216	2,904	0	9,293	4,739	0	9	991	0	3,739	0
North Embarcadero - Election Day	56	25	18	24	76	418	0	5,953	702	0	0	85	0	617	0
North Embarcadero - Vote By Mail	89	45	33	89	216	1,165	0	5,953	1,839	0	1	201	0	1,637	0
North Embarcadero	145	70	51	113	292	1,583	0	5,953	2,541	0	1	286	0	2,254	0
Portola - Election Day	53	22	26	31	126	456	0	9,927	810	0	1	95	0	714	0
Portola - Vote By Mail	145	54	86	117	785	1,494	0	9,927	2,924	0	15	228	0	2,681	0
Portola	198	76	112	148	911	1,950	0	9,927	3,734	0	16	323	0	3,395	0
Potrero Hill - Election Day	115	34	16	65	128	1,093	0	16,717	1,709	0	2	256	0	1,451	0
Potrero Hill - Vote By Mail	304	67	35	167	453	3,295	0	16,717	4,950	0	6	623	0	4,321	0
Potrero Hill	419	101	51	232	581	4,388	0	16,717	6,659	0	8	879	0	5,772	0
Richmond - Election Day	368	178	44	164	605	2,707	0	37,882	4,923	0	13	844	0	4,066	0
Richmond - Vote By Mail	758	280	97	422	1,653	6,193	0	37,882	11,263	0	55	1,805	0	9,403	0
Richmond	1,126	458	141	586	2,258	8,900	0	37,882	16,186	0	68	2,649	0	13,469	0
Sea Cliff/Presidio Heights - Election Day	46	20	10	35	65	538	0	6,193	810	0	0	96	0	714	0
Sea Cliff/Presidio Heights - Vote By Mail	85	44	9	67	152	1,425	0	6,193	2,005	0	3	220	0	1,782	0
Sea Cliff/Presidio Heights	131	64	19	102	217	1,963	0	6,193	2,815	0	3	316	0	2,496	0
South of Bernal Heights - Election Day	73	32	22	32	51	684	0	7,872	1,104	0	1	209	0	894	0
South of Bernal Heights - Vote By Mail	182	45	27	95	164	1,570	0	7,872	2,480	0	4	393	0	2,083	0
South of Bernal Heights	255	77	49	127	215	2,254	0	7,872	3,584	0	5	602	0	2,977	0
South of Market - Election Day	123	34	24	86	199	1,084	1	24,361	1,800	0	4	245	0	1,551	1
South of Market - Vote By Mail	387	115	64	304	832	3,921	0	24,361	6,390	0	27	740	0	5,623	0
South of Market	510	149	88	390	1,031	5,005	1	24,361	8,190	0	31	985	0	7,174	1
Sunset - Election Day	400	179	66	226	816	2,640	0	42,750	4,923	0	6	590	0	4,327	0
